词汇,出现次数,词汇,出现次数
和,503,的,481
发展,298,推进,264
建设,234,等,219
改革,184,企业,147
加快,140,创新,129
实施,126,要,122
在,122,推动,118
加强,113,经济,111
新,109,政府,105
工作,102,全面,89
产业,84,完善,83
社会,82,是,82
深化,79,增长,77
重点,75,为,73
促进,72,个,70
我们,69,服务,68
制度,68,支持,66
提高,66,文化,65
开展,63,机制,60
以,60,试点,60
农业,60,就业,59
提升,58,国家,57
农村,57,治理,56
与,56,投资,55
对,54,项目,54
好,54,转型,54
安全,53,政策,52
工程,51,群众,49
城市,49,了,49
坚持,48,落实,48
生产,48,实现,48
深入,48,合作,47
人民,46,生态,46
大,46,向,46
抓好,45,地区,45
多,44,产能,44
一批,43,积极,43
完成,43,保护,42
领域,42,继续,41
基本,41,综合,41
全省,41,科技,40
中国,39,扩大,39
加大,39,更,38
消费,38,保障,38
民生,38,管理,38
旅游,38,培育,38
重大,38,有,37
改善,37,创业,36
城乡,36,行动,36
大力,35,市场,35
稳定,35,脱贫,35
今年,34,进一步,34
扶贫,34,中,34
战略,34,问题,33
教育,33,建立,33
做好,33,任务,33
城镇,33,以上,33
升级,33,坚决,32
强化,32,山西,32
体系,31,水平,31
不,31,环境,31
持续,31,力度,31
金融,31,国际,30
着力,30,打造,30
下降,30,让,29
引导,29,做,29
资源,29,供给,29
责任,28,融合,28
确保,28,质量,28
行政,28,有效,28
目标,28,代表,28
年,28,清单,27
一年,27,绿色,26
中心,26,更加,26
标准,26,活动,26
开放,26,扎实,26
区域,26,工业,26
上,26,.,25
监管,25,健全,25
基础,25,生活,25
取得,25,启动,25
努力,25,服务业,25
太原,25,改造,25
收入,25,全,25
特色,24,地方,24
降低,24,结构,24
统筹,24,依法,23
资金,23,不断,23
人才,23,制定,23
平台,23,重要,23
增加,23,左右,23
各位,23,示范,22
能力,22,融资,22
到,22,规范,22
体制改革,22,风险,22
基础设施,21,健康,21
形成,21,鼓励,21
把,21,中央,21
规划,21,各类,21
方面,21,专项,21
体制,20,组织,20
农产品,20,新型,20
必须,20,优化,20
各,20,基金,20
综改,20,去,20
预期,20,困难,20
结构性,20,侧,20
精神,20,一,20
亿元,19,维护,19
执法,19,国内,19
主体,19,作用,19
突出,19,经济社会,19
解决,19,县,19
环保,19,精准,19
资产,19,审批,19
整合,19,全国,19
住房,19,新增,19
可,19,生产总值,19
领导,19,增强,18
使,18,基地,18
再,18,力争,18
将,18,取消,18
转移,18,能源,18
我省,18,技术,18
装备,18,贫困人口,18
核心,17,农民,17
省级,17,互联网,17
模式,17,现代,17
制造,17,高校,17
煤炭,17,万人,17
城乡居民,17,文明,16
实行,16,产品,16
出台,16,政务,16
攻坚,16,实体,16
构建,16,合一,16
新能源,16,示范区,16
主要,16,支撑,16
公共,16,要求,16
下,16,省委,16
世界,15,超过,15
整治,15,参与,15
探索,15,办好,15
计划,15,大力发展,15
品牌,15,优势,15
市场化,15,国务院,15
监督,15,建成,15
保持,15,事业,15
物流,15,新兴产业,15
来,15,规模,15
价格,15,稳,15
人员,15,我国,14
